"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C26","5","10u","stdpads:C_0805","C15850",""
"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C28","23","2u2","stdpads:C_0603","C23630",""
"D1","1","Amber","stdpads:LED_0805","C284932",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2, H3, H4","4","~","stdpads:PasteHole_1.152mm_NPTH","",""
"H5","1","~","stdpads:PasteHole_1.1mm_PTH","",""
"J1","1","IIgs RAM Exp.","stdpads:AppleIIgsMemoryExpansion_Edge","",""
"J2","1","JTAG","stdpads:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"R1, R2","2","22k","stdpads:R_0805","C17560",""
"R3, R5, R6","3","47","stdpads:R_0603","C23182",""
"R4","1","0","stdpads:R_0805","C17477",""
"R7","1","220","stdpads:R_0805","C17557",""
"U1","1","EPM240T100C5N","stdpads:TQFP-100_14x14mm_P0.5mm","C10041",""
"U2","1","W9812G6KH-6","stdpads:TSOP-II-54_22.2x10.16mm_P0.8mm","C62379",""
"U3","1","60M","stdpads:Crystal_SMD_7050-4Pin_7.0x5.0mm_SiTime","C26255",""
"U4","1","74AHCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C173388",""
"U5, U6, U7","3","74LVC245APW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C6082",""
"U8","1","AZ1117CH-3.3TRG1","stdpads:SOT-223","C92102",""
"U9, U10","2","74LVC1G04GW","stdpads:SOT-353","C10237",""
"U11","1","AP2127K-1.8TRG1","stdpads:SOT-23-5","C151375",""
